,Material,Created By,Created On,Client lvl,Mat. Type,Industry,Matl Group,Unit,PV key,Material Description,Purchase Order Text,catalog
5662,555099405,SHRUHO,44229,,ZSC2,P,Z022,NOS,,ACP Display Board,ACP Display Board,
5663,555090771,SHRUHO,43882,,ZSC2,P,Z022,NOS,,Petridish with triple vent Radiation Ste,"Petridish with triple vent Radiation Sterile, Cat No. - 460091, 90*14mm","Cat No. - 460091, 90*14mm"
5664,555039365,SHRUHO,42611,,ZSC2,P,Z022,NOS,,Glass pasteur pipette,Glass pasteur pipette,
5665,555034628,SHRUHO,42479,,ZSC2,P,Z022,NOS,,EDGELES MOP CLOTH,EDGELES MOP CLOTH,
5666,555108607,SHRUHO,44572,,ZSC2,P,Z022,NOS,,ORION PH 12.46 BUFFER solution (475ML),ORION PH 12.46 BUFFER solution (475ML),
5667,555030086,SHRUHO,42269,,ZSC2,P,Z022,NOS,,Human Insulin Receptor / INSR / CD220 Pr,"Human Insulin Receptor / INSR / CD220 Protein (short isoform, His Tag); Cat#11086-H08H",Cat#11086-H08H
5668,555085790,SHRUHO,43676,,ZSC2,P,Z022,NOS,,CGCA1-Calcium-1000ppm,CGCA1-Calcium-1000ppm,
5669,555082531,SHRUHO,43538,,ZSC2,P,Z022,NOS,,"Weighing Boats with Pour Spout,Cat no.;P","Weighing Boats with Pour Spout,Cat no.;P70506",Cat no.;P70506
5670,555092498,SHRUHO,43970,,ZSC2,P,Z022,NOS,,1000 ppm Sodium standard,1000 ppm Sodium standard,
5671,555109132,SHRUHO,44600,,ZSC2,P,Z022,NOS,,SCSPB-09-1534,SCSPB-09-1534 PP Cap Blue 6mm hole with silicon beige/PTFE white slit ultr,
5672,555036876,SHRUHO,42564,,ZSC2,P,Z022,NOS,,Glass Droppers 10mm with bulb,Glass Droppers 10mm with bulb,
5673,555109477,SHRUHO,44609,,ZSC2,P,Z022,NOS,,Glass Stirrer rod 8mm,Glass Stirrer rod 8mm,
5674,555109478,SHRUHO,44609,,ZSC2,P,Z022,NOS,,Glass Stirrer rod 10mm,Glass Stirrer rod 10mm,
5675,555109489,SHRUHO,44609,,ZSC2,P,Z022,NOS,,Silicon pipe,Silicon pipe,
5676,555109513,SHRUHO,44609,,ZSC2,P,Z022,NOS,,Zip lock pouches 6*7,Zip lock pouches 6*7,
5677,555093536,SHRUHO,44007,,ZSC2,P,Z022,NOS,,GC inlet liner CAT NO:210-4004-5,GC inlet liner CAT NO:210-4004-5,CAT NO:210-4004-5
5678,555098768,SHRUHO,44204,,ZSC2,P,Z022,NOS,,Prochem OK Cycle : Class 5,Prochem OK Cycle : Class 5,
5679,555084954,SHRUHO,43644,,ZSC2,P,Z022,NOS,,Tank Level Sensor,Tank Level Sensor (100L) CAT NO:FTPF06805,CAT NO:FTPF06805
5680,555103296,SHRUHO,44356,,ZSC2,P,Z022,NOS,,S5ODS1 COL 25CMX4.6MM cat no:PSS830615,S5ODS1 COL 25CMX4.6MM cat no:PSS830615,cat no:PSS830615
5681,555104701,SHRUHO,44412,,ZSC2,P,Z022,NOS,,"BD Vacutainer SST, Reference # 367954","BD Vacutainer SST, Reference # 367954, Tube size (mm) 16x100, Draw volume (mL) 6.0",
5682,555028225,SHRUHO,42184,,ZSC2,P,Z022,NOS,,"SALI-HF, CAT #R3138S, NEB","SALI-HF, CAT #R3138S, NEB","CAT #R3138S, NEB"
5683,555085447,SHRUHO,43663,,ZSC2,P,Z022,NOS,,DraIII-HF CAT NO:R3510S,DraIII-HF CAT NO:R3510S,CAT NO:R3510S
5684,555094318,SHRUHO,44033,,ZSC2,P,Z022,NOS,,HRP anti-His Tag Antibody CAT NO:652504,HRP anti-His Tag Antibody CAT NO:652504,CAT NO:652504
5685,555110795,SHRUHO,44657,,ZSC2,P,Z022,NOS,,Polypropylene filter 1 Micron,Polypropylene filter 1 Micron,
5686,555097393,SHRUHO,44147,,ZSC2,P,Z022,NOS,,Deuterium Lamp DAD 8Pin CAT NO:5190-0917,Deuterium Lamp DAD 8Pin CAT NO:5190-0917,CAT NO:5190-0917
5687,555111040,SHRUHO,44665,,ZSC2,P,Z022,NOS,,Inert Sustain Cyano,Inert Sustain Cyano 3um 4.6x250mm cat no:5020-89400,cat no:5020-89400
5688,555029205,SHRUHO,42228,,ZSC2,P,Z022,NOS,,Welch Allyn Durashock Cuff 11 Size (prod,Welch Allyn Durashock Cuff 11 Size (product code Reuse-11),p
5689,555111351,SHRUHO,44679,,ZSC2,P,Z022,NOS,,"8"" Hypalon Hand Glove 8Y3032","8'' Hypalon Hand Glove 8Y3032 ; Port Dia: 8''Thickness: 30 mil; Length: 32â€;Hand size: 9.75, Ambidextrous, Product Code: 8Y3032/ 9Q",P
5690,555111352,SHRUHO,44679,,ZSC2,P,Z022,NOS,,10'' Hypalon Gloves (10Y3032),"10'' Hypalon Gloves (10Y3032)Thickness : 30mil ; Length,32''Hand size: 9.75 Ambidextrous, Product Code : 10Y3032A/9Q",P
5691,555111382,SHRUHO,44679,,ZSC2,P,Z022,NOS,,"CAMLOK SEAL VITON 1""",CAMLOK SEAL VITON 1'',
5692,555111383,SHRUHO,44679,,ZSC2,P,Z022,NOS,,"CAMLOK SEAL VITON 1.1/2""",CAMLOK SEAL VITON 1.1/2'',
5693,555093910,SHRUHO,44018,,ZSC2,P,Z022,NOS,,BL21-CodonPlus (DE3)-RIPL Comp Cells CAT,BL21-CodonPlus (DE3)-RIPL Comp Cells CAT NO:230280,CAT NO:230280
5694,555111392,SHRUHO,44679,,ZSC2,P,Z022,NOS,,Absorbent pads  Size 30’’x150’’ Feet,Absorbent pads Size 30’’x150’’ Feet,
5695,555086514,SHRUHO,43704,,ZSC2,P,Z022,NOS,,"Magnetic stirring bar PTFE, 30 x 6 mm, c","Magnetic stirring bar PTFE, 30 x 6 mm, cylindrical, small pivot ring Cat No.: 137425",Cat No.: 137425
5696,555103225,SHRUHO,44355,,ZSC2,P,Z022,NOS,,"4"" OD TCL GASKET",4'' OD TCL GASKET,
5697,555034076,SHRUHO,42452,,ZSC2,P,Z022,NOS,,"CORNING CELL SCRAPERS,BLADE L 1.8 CM, HA","CORNING CELL SCRAPERS,BLADE L 1.8 CM, HA cat no: CLS3010",cat no: CLS3010
5698,555112793,SHRUHO,44732,,ZSC2,P,Z022,NOS,,"250ml 4neck RB flask,(B29-B24-B24-B24)","250ml 4neck RB flask,(B29-B24-B24-B24)",
5699,555112794,SHRUHO,44732,,ZSC2,P,Z022,NOS,,"500ml 4neck RB flask, (B29-B24-B24-B24)","500ml 4neck RB flask, (B29-B24-B24-B24)",
5700,555112795,SHRUHO,44732,,ZSC2,P,Z022,NOS,,"1L 4neck RB flask,(B29-B24-B24-B24)","1L 4neck RB flask,(B29-B24-B24-B24)",
5701,555112796,SHRUHO,44732,,ZSC2,P,Z022,NOS,,"2L 4neck RB flask, (B29-B24-B24-B24)","2L 4neck RB flask, (B29-B24-B24-B24)",
5702,555112797,SHRUHO,44732,,ZSC2,P,Z022,NOS,,"3L 4neck RB flask, (B29-B24-B24-B24)","3L 4neck RB flask, (B29-B24-B24-B24)",
5703,555112798,SHRUHO,44732,,ZSC2,P,Z022,NOS,,"5L 4neck RB flask,  (B29-B24-B24-B24)","5L 4neck RB flask, (B29-B24-B24-B24)",
5704,555112799,SHRUHO,44732,,ZSC2,P,Z022,NOS,,"10L 4neck RB flask,  (B29-B29-B24-B24)","10L 4neck RB flask, (B29-B29-B24-B24)",
5705,555028229,SHRUHO,42184,,ZSC2,P,Z022,NOS,,PvuI-HF,PvuI-HF-R3150L,
5706,555091293,SHRUHO,43907,,ZSC2,P,Z022,NOS,,8ml vial with White Cap& RedSepta/Cap,8ml vial with White Cap& RedSepta/Cap,
5707,555085231,SHRUHO,43655,,ZSC2,P,Z022,NOS,,InfusionHD cloning Kit cat no:639650,InfusionHD cloning Kit cat no:639650,cat no:639650
5708,555112950,SHRUHO,44735,,ZSC2,P,Z022,NOS,,Sensor element for Temp & Humidity senso,Sensor element for Temp & Humidity sensor with built in RTD 8 mm diameter,
5709,555031892,SHRUHO,42352,,ZSC2,P,Z022,NOS,,Nessler Cylinder,Nessler Cylinder,
5710,555090976,SHRUHO,43892,,ZSC2,P,Z022,NOS,,Disposable cups,Disposable cups,
5711,555107812,SHRUHO,44539,,ZSC2,P,Z022,NOS,,Heat transfer fluid cat no: 3DA811,Heat transfer fluid cat no: 3DA811,cat no: 3DA811
5712,555087822,SHRUHO,43768,,ZSC2,P,Z022,NOS,,Cleanroom Gown and Booties,Cleanroom Gown and Booties,
5713,555106080,SHRUHO,44467,,ZSC2,P,Z022,NOS,,Standard Q Covid19 Antigen Rapid Test,Standard Q Covid19 Antigen Rapid Test - Cat. No. RK055-25,Cat. No. RK055-25
5714,555112943,SHRUHO,44735,,ZSC2,P,Z022,NOS,,"Straight Coupler 1/8"" ID, PP, ADCF Free","Straight Coupler 1/8'' ID, PP, ADCF Free cat.no:510-0002PX",cat.no:510-0002PX
5715,555105382,SHRUHO,44435,,ZSC2,P,Z022,NOS,,QS300 KIT BED SUPPORT ADJUSTER 20Î¼M,QS300 KIT BED SUPPORT ADJUSTER 20μM cat no:SPKQS300002,cat no:SPKQS300002
5716,555105383,SHRUHO,44435,,ZSC2,P,Z022,NOS,,QS300 BOTTOM BED SUPPORT 20 Î¼M,QS300 BOTTOM BED SUPPORT 20 μM cat no:SPKQS300022,cat no:SPKQS300022
5717,555113753,SHRUHO,44768,,ZSC2,P,Z022,NOS,,"Teflon shaft 29"" joint",Teflon shaft 29'' joint,
5718,555113754,SHRUHO,44768,,ZSC2,P,Z022,NOS,,"Column-open type, Dia-2cm*Length-40cm","Column-open type, Dia-2cm*Length-40cm",
5719,555113755,SHRUHO,44768,,ZSC2,P,Z022,NOS,,"Column-open type, Dia-3cm*Length-60cm","Column-open type, Dia-3cm*Length-60cm",
5720,555113756,SHRUHO,44768,,ZSC2,P,Z022,NOS,,"Column-open type, Dia-6cm*Length-60cm","Column-open type, Dia-6cm*Length-60cm",
5721,555113757,SHRUHO,44768,,ZSC2,P,Z022,NOS,,"Column-open type, Dia-10cm*Length-60cm","Column-open type, Dia-10cm*Length-60cm",
5722,555113758,SHRUHO,44768,,ZSC2,P,Z022,NOS,,"Column-flash type,24"" joint, Dia-2cm*Len","Column-flash type,24'' joint, Dia-2cm*Length-40cm",
5723,555113759,SHRUHO,44768,,ZSC2,P,Z022,NOS,,"Column-flash type, 24"" joint,  Dia-3cm*L","Column-flash type, 24'' joint, Dia-3cm*Length-60cm",
5724,555113760,SHRUHO,44768,,ZSC2,P,Z022,NOS,,"Column-flash type, 29"" joint, Dia-6cm*Le","Column-flash type, 29'' joint, Dia-6cm*Length-60cm",
5725,555113761,SHRUHO,44768,,ZSC2,P,Z022,NOS,,"Column-flash type, 29"" joint, Dia-10cm*L","Column-flash type, 29'' joint, Dia-10cm*Length-60cm",
5726,555113762,SHRUHO,44768,,ZSC2,P,Z022,NOS,,Measuring jar 10 ml - Plastic,Measuring jar 10 ml - Plastic,
5727,555113763,SHRUHO,44768,,ZSC2,P,Z022,NOS,,Measuring jar 25 ml - Plastic,Measuring jar 25 ml - Plastic,
5728,555113766,SHRUHO,44768,,ZSC2,P,Z022,NOS,,"Deanstark condensor 24"" joint",Deanstark condensor 24'' joint,
5729,555113772,SHRUHO,44768,,ZSC2,P,Z022,NOS,,Sample collection bottles 250ml (Glass),Sample collection bottles 250ml (Glass),
5730,555113773,SHRUHO,44768,,ZSC2,P,Z022,NOS,,Sample collection bottles 500ml (Glass),Sample collection bottles 500ml (Glass),
5731,555113774,SHRUHO,44768,,ZSC2,P,Z022,NOS,,Sample collection bottles 1L (Glass),Sample collection bottles 1L (Glass),
5732,555113778,SHRUHO,44768,,ZSC2,P,Z022,NOS,,Two- finger clamps with holder,Two- finger clamps with holder,
5733,555113779,SHRUHO,44768,,ZSC2,P,Z022,NOS,,Vapour duct-for 01LTR BUCHI  R-300,Vapour duct-for 01LTR BUCHI R-300,
5734,555113781,SHRUHO,44768,,ZSC2,P,Z022,NOS,,Vacuum seal - for BUCHI R-300,Vacuum seal - for BUCHI R-300,
5735,555114039,SHRUHO,44775,,ZSC2,P,Z022,NOS,,Sample Kit(Containing sterile Sample sco,Sample Kit(Containing sterile Sample scoop & sterile sample bag) Slot sampler,
5736,555096493,SHRUHO,44116,,ZSC2,P,Z022,NOS,,Supply of SS 316 L Mirror Finish Beaker,Supply of SS 316 L Mirror Finish Beaker 1 Ltr Cap,
5737,555096494,SHRUHO,44116,,ZSC2,P,Z022,NOS,,Supply of SS 316 L Mirror Finish Beaker,Supply of SS 316 L Mirror Finish Beaker 2 Ltr Cap,
5738,555096495,SHRUHO,44116,,ZSC2,P,Z022,NOS,,Supply of SS 316 L Mirror Finish Beaker,Supply of SS 316 L Mirror Finish Beaker 5 Ltr Cap,
5739,555026062,SHRUHO,42114,,ZSC2,P,Z022,NOS,,Liquid Sampler SS316-4.0m Capacity: 50ml,S.S.316 Liquid Sampler Sampling Capacity :- 50ml Size :- 4 Mtr (Long),
5740,555039318,SHRUHO,42608,,ZSC2,P,Z022,NOS,,QS300 KIT OF ADJUSTER SEALS,QS300 KIT OF ADJUSTER SEALS,
5741,555085448,SHRUHO,43663,,ZSC2,P,Z022,NOS,,BstBI CAT NO:R0519S,BstBI CAT NO:R0519S,CAT NO:R0519S
5742,555093359,SHRUHO,44001,,ZSC2,P,Z022,NOS,,"ZEBA SPIN DESALTING COLUMNS, 40K, 5 ML,","ZEBA SPIN DESALTING COLUMNS, 40K, 5 ML, 5 PACK; CAT#: 87770",CAT#: 87770
5743,555026616,SHRUHO,42128,,ZSC2,P,Z022,NOS,,SOP STAND,SOP STAND,
5744,555088172,SHRUHO,43781,,ZSC2,P,Z022,NOS,,"Anti-TCR/d MicroBead Kit, human cat no:","Anti-TCR/d MicroBead Kit, human cat no:130-050-701",cat no:130-050-701
5745,555114501,SHRUHO,44791,,ZSC2,P,Z022,NOS,,2ml HPLC vial White preslit Septa/Cap,2ml HPLC vial White preslit Septa/Cap,
5746,555026543,SHRUHO,42123,,ZSC2,P,Z022,NOS,,RB FLASK 250 mL four neck 24'',RB FLASK 250 mL four neck 24'',
5747,555114048,SHRUHO,44775,,ZSC2,P,Z022,NOS,,25ml Tecan Disposable Reagent Trough Res,'25ml Tecan Disposable Reagent Trough Reservoir PP Cat # 30055743 '',Cat # 30055743 ''
5748,555039498,SHRUHO,42613,,ZSC2,P,Z022,NOS,,"Heavy Duty Carboy,pn#T583265,Tarsons","Heavy Duty Carboy,pn#T583265,Tarsons",
5749,555114623,SHRUHO,44795,,ZSC2,P,Z022,NOS,,"1 micron filter cloth, Dia-6.5 cm","1 micron filter cloth, Dia-6.5 cm",
5750,555114624,SHRUHO,44795,,ZSC2,P,Z022,NOS,,"1 micron filter cloth, Dia-3.5 inch","1 micron filter cloth, Dia-3.5 inch",
5751,555114632,SHRUHO,44795,,ZSC2,P,Z022,NOS,,"5 micron filter cloth, Dia-4.5 inch","5 micron filter cloth, Dia-4.5 inch",
5752,555114640,SHRUHO,44795,,ZSC2,P,Z022,NOS,,"10 micron filter cloth, Dia-5.5 inch","10 micron filter cloth, Dia-5.5 inch",
5753,555038725,SHRUHO,42591,,ZSC2,P,Z022,NOS,,COTTON SWAB -LARGE,COTTON SWAB -LARGE,
5754,555093394,SHRUHO,44001,,ZSC2,P,Z022,NOS,,PD10 desalting column CAT NO:17085101,PD10 desalting column CAT NO:17085101,CAT NO:17085101
5755,555023796,SHRUHO,42006,,ZSC2,P,Z022,NOS,,CENTRIFUGE-CF06 CLOTH,CENTRIFUGE-CF06 CLOTH,
5756,555092137,SHRUHO,43957,,ZSC2,P,Z022,NOS,,Wash Bottles,Wash Bottles,
5757,555022587,SHRUHO,41953,,ZSC2,P,Z022,NOS,,Rubber bulb (Large size),"Rubber bulb (large size), Pack size:12, Ransil",
5758,555022586,SHRUHO,41953,,ZSC2,P,Z022,NOS,,Rubber bulb (small size),"Rubber bulb (small size), Pack size:12, Ransil",
5759,555094832,SHRUHO,44054,,ZSC2,P,Z022,NOS,,Diphoterine Medical Kit,Diphoterine Medical Kit,
5760,555028500,SHRUHO,42195,,ZSC2,P,Z022,NOS,,Not I HF NEB,Not I HF NEB CAT NO:R3189S,CAT NO:R3189S
5761,555028499,SHRUHO,42195,,ZSC2,P,Z022,NOS,,ECO RI HF-NEB,ECO RI HF-NEB CAT NO:R3101S,CAT NO:R3101S
5762,555040762,SHRUHO,42664,,ZSC2,P,Z022,NOS,,"CORNING CLEAR BOTTOM 96 WELL PLATES,BLAC","CORNING CLEAR BOTTOM 96 WELL PLATES,BLAC CAT NO:CLS3904",CAT NO:CLS3904
5763,555088700,SHRUHO,43798,,ZSC2,P,Z022,NOS,,Rb mAb to SLC45A3 [EPR479s(2)] cat no:ab,Rb mAb to SLC45A3 [EPR479s(2)] cat no:ab137065,cat no:ab137065
5764,555040770,SHRUHO,42664,,ZSC2,P,Z022,NOS,,Ammonium Oxalate Monohydrate,Ammonium Oxalate Monohydrate,
5765,555041457,SHRUHO,42695,,ZSC2,P,Z022,NOS,,Preciuous plus protein Dua color standar,"Preciuous plus protein Dua color standards,500ul Catalog No: 1610374",Catalog No: 1610374
5766,555033651,SHRUHO,42430,,ZSC2,P,Z022,NOS,,Stellar Competent Cells,Stellar Competent Cells 10 rxns cat no:636763,cat no:636763
5767,555029963,SHRUHO,42262,,ZSC2,P,Z022,NOS,,"6 well plate, Code -980010","6 well plate, Code -980010",
5768,555085787,SHRUHO,43676,,ZSC2,P,Z022,NOS,,CGNA1-Sodium -1000ppm,CGNA1-Sodium -1000ppm,
5769,555091030,SHRUHO,43894,,ZSC2,P,Z022,NOS,,Unions CAT NO:WAT097332,Unions CAT NO:WAT097332,CAT NO:WAT097332
5770,555092139,SHRUHO,43957,,ZSC2,P,Z022,NOS,,Test Tubes,Test Tubes,
5771,555103739,SHRUHO,44372,,ZSC2,P,Z022,NOS,,Two color (black and red) printer ribbon,"Two color (black and red) printer ribbon cassette for Sartocheck 3, 3 plus, 4,4 plus, 4 plus Filter tester and Bag tester cat no:698",cat no:698
5772,555097442,SHRUHO,44148,,ZSC2,P,Z022,NOS,,Charger for the brother,Charger for the brother,
5773,555093885,SHRUHO,44018,,ZSC2,P,Z022,NOS,,PAPR hood with hose,PAPR hood with hose,
5774,555097396,SHRUHO,44147,,ZSC2,P,Z022,NOS,,Needle assy slotted CAT NO:G7129-87200,Needle assy slotted CAT NO:G7129-87200,CAT NO:G7129-87200
5775,555091372,SHRUHO,43909,,ZSC2,P,Z022,NOS,,Magnetic Beads small,Magnetic Beads small,
5776,555092711,SHRUHO,43979,,ZSC2,P,Z022,NOS,,"ALBUMIN HUMAN, RECOMBINANT cat no:A7736","ALBUMIN HUMAN, RECOMBINANT cat no:A7736",cat no:A7736
5777,555086497,SHRUHO,43704,,ZSC2,P,Z022,NOS,,Murine IL-2 CAT NO:212-12-50,Murine IL-2 CAT NO:212-12-50,CAT NO:212-12-50
5778,555086496,SHRUHO,43704,,ZSC2,P,Z022,NOS,,Murine IL-21 CAT NO:210-21-50,Murine IL-21 CAT NO:210-21-50,CAT NO:210-21-50
5779,555086495,SHRUHO,43704,,ZSC2,P,Z022,NOS,,Murine APRIL CAT NO:315-13-20,Murine APRIL CAT NO:315-13-20,CAT NO:315-13-20
5780,555095528,SHRUHO,44083,,ZSC2,P,Z022,NOS,,"Chloride standard solution for IC,Cat No","Chloride standard solution for IC,Cat No.:39883",Cat No.:39883
5781,555028226,SHRUHO,42184,,ZSC2,P,Z022,NOS,,"SACI-HF, CAT #R3156S, NEB","SACI-HF, CAT #R3156S, NEB","CAT #R3156S, NEB"
5782,555085242,SHRUHO,43655,,ZSC2,P,Z022,NOS,,RFID Sticker Tags,RFID Sticker Tags,
5783,555095280,SHRUHO,44069,,ZSC2,P,Z022,NOS,,"Biotage Rening Cartridges, BK-SIL, 80g,","Biotage Rening Cartridges, BK-SIL, 80g, 20/cs part no:FSRN-M800E-0080",p
5784,555092820,SHRUHO,43984,,ZSC2,P,Z022,NOS,,Banner -6X4 ft,Banner -6X4 ft,
5785,555087614,SHRUHO,43760,,ZSC2,P,Z022,NOS,,Cryogenic barcode Ribbon,Cryogenic barcode Ribbon,
5786,555036032,SHRUHO,42530,,ZSC2,P,Z022,NOS,,Teflon tube,Teflon tube,
5787,555094840,SHRUHO,44054,,ZSC2,P,Z022,NOS,,"CD56-PE, human, REA196 cat no:130-113-31","CD56-PE, human, REA196 cat no:130-113-312",cat no:130-113-312
5788,555089507,SHRUHO,43833,,ZSC2,P,Z022,NOS,,Electrode storage solution CAT NO:6.2323,Electrode storage solution CAT NO:6.2323.000,CAT NO:6.2323.000
5789,555087661,SHRUHO,43761,,ZSC2,P,Z022,NOS,,specific gravity bottle-10ML,specific gravity bottle-10ML,
5790,555028228,SHRUHO,42184,,ZSC2,P,Z022,NOS,,PstI-HF,PstI-HF-R3140S,
5791,555032724,SHRUHO,42396,,ZSC2,P,Z022,NOS,,Reducer B29-24,Reducer B29-24,
5792,555094833,SHRUHO,44054,,ZSC2,P,Z022,NOS,,ERT Plain Card,ERT Plain Card,
5793,555039363,SHRUHO,42611,,ZSC2,P,Z022,NOS,,"B1501-Bottles, Reagent, Wide Mouth,150ml","B1501-Bottles, Reagent, Wide Mouth,150ml - Borosil (1501018)",
5794,555089492,SHRUHO,43833,,ZSC2,P,Z022,NOS,,1ML Hamilton  Syringe CAT NO:CAL81317,1ML Hamilton Syringe CAT NO:CAL81317,CAT NO:CAL81317
5795,555036243,SHRUHO,42543,,ZSC2,P,Z022,NOS,,Sevoflurane Related Compound-A,Sevoflurane Related Compound-A,
5796,555085806,SHRUHO,43676,,ZSC2,P,Z022,NOS,,"Tube Rack for 5.0, 15 und 50 mL tubes ca","Tube Rack for 5.0, 15 und 50 mL tubes cat no:0030119835",cat no:0030119835
5797,555084709,SHRUHO,43636,,ZSC2,P,Z022,NOS,,TiterMax Classic Adjuvant Catlog# H4397,TiterMax Classic Adjuvant Catlog# H4397,Catlog# H4397
5798,555089371,SHRUHO,43825,,ZSC2,P,Z022,NOS,,3 pin DAD Lamps   Part No. LBT-DAD3-1315,3 pin DAD Lamps Part No. LBT-DAD3-1315,P
5799,555082549,SHRUHO,43538,,ZSC2,P,Z022,NOS,,Atlantis T3 VanGuard Cart 3µ 3.9X5mm CAT,Atlantis T3 VanGuard Cart 3µ 3.9X5mm CAT NO:186007676,CAT NO:186007676
5800,555095260,SHRUHO,44069,,ZSC2,P,Z022,NOS,,SCBA Composite,Self-Contained Breathing Apparatus composite type,
5801,555105597,SHRUHO,44447,,ZSC2,P,Z022,NOS,,"DIMETHYL SULFOXIDE-D6(D6 99.9%),Cat# CIL","DIMETHYL SULFOXIDE-D6(D6 99.9%),Cat# CIL-DLM-10-2 Cambridge Isotopes(CIL)",Cat# CIL-DLM-10-2 Cambridge Isotopes(CIL)
5802,555036576,SHRUHO,42555,,ZSC2,P,Z022,NOS,,Mosquito repellent,Mosquito repellent,
5803,555036223,SHRUHO,42542,,ZSC2,P,Z022,NOS,,SS hanger for cloth,SS hanger for cloth,
5804,555036504,SHRUHO,42551,,ZSC2,P,Z022,NOS,,Lidocaine HCl USP reference standard,Lidocaine HCl USP reference standard,
5805,555086983,SHRUHO,43727,,ZSC2,P,Z022,NOS,,SIGN BOARDS 10”X5”,SIGN BOARDS 10”X5”,
5806,555081647,SHRUHO,43507,,ZSC2,P,Z022,NOS,,AminexÒ HPX-87C Carbohydrate Analysis Co,"AminexÒ HPX-87C Carbohydrate Analysis Column, 300mm x 7.8mm , Bio-Rad Laboratories , Cat. No. 125-0095",Cat. No. 125-0095
5807,555095279,SHRUHO,44069,,ZSC2,P,Z022,NOS,,"Biotage Rening Cartridges, BK-SIL, 45g,","Biotage Rening Cartridges, BK-SIL, 45g, 20/cs part no:FSRN-M800E-0045",p
5808,555098280,SHRUHO,44181,,ZSC2,P,Z022,NOS,,Capillary ST 0.17 x 400 SL/SL LONG SOCKE,"Capillary ST 0.17 x 400 SL/SL LONG SOCKET, PART NO: 5500-1252",P
5809,555032136,SHRUHO,42362,,ZSC2,P,Z022,NOS,,3M Micropore  Tape  ½ “,3M Micropore  Tape  1/2 “,
5810,555029827,SHRUHO,42256,,ZSC2,P,Z022,NOS,,Long sleeve shirt,Long sleeve shirt,
5811,555093356,SHRUHO,44001,,ZSC2,P,Z022,NOS,,EZ-LINK PLUS ACTIVATED PEROXIDASE KIT,EZ-LINK PLUS ACTIVATED PEROXIDASE KIT; 31489,
5812,555097398,SHRUHO,44148,,ZSC2,P,Z022,NOS,,Luxor Highlighter,Luxor 1851 Highlighter Yellow,
5813,555032896,SHRUHO,42403,,ZSC2,P,Z022,NOS,,Seagate Backup Plus Slim 2TB Portable Ex,Seagate Backup Plus Slim 2TB Portable External Hard Drive,
5814,555099360,SHRUHO,44229,,ZSC2,P,Z022,NOS,,Mouse Tunnel-Red/Yellow,Mouse Tunnel-Red/Yellow,
5815,555099361,SHRUHO,44229,,ZSC2,P,Z022,NOS,,Mouse Hut/Igloo-Red/Yellow,Mouse Hut/Igloo-Red/Yellow,
5816,555099362,SHRUHO,44229,,ZSC2,P,Z022,NOS,,Rat Tunnel-Red/Yellow,Rat Tunnel-Red/Yellow,
5817,555099363,SHRUHO,44229,,ZSC2,P,Z022,NOS,,Rat Hut-Red/Yellow,Rat Hut-Red/Yellow,
5818,555032732,SHRUHO,42396,,ZSC2,P,Z022,NOS,,Disposable Luer-lock syringes 20 ml,Disposable Luer-lock syringes 20 ml,
5819,555090578,SHRUHO,43879,,ZSC2,P,Z022,NOS,,Human GPRC5A Alexa Fluor 647 Antibody,Human GPRC5A Alexa Fluor 647 Antibody CAT NO:IC5239R-100UG,CAT NO:IC5239R-100UG
5820,555036814,SHRUHO,42563,,ZSC2,P,Z022,NOS,,Duke standard 25 µm,Duke standard 25 µm,
5821,555100873,SHRUHO,44277,,ZSC2,P,Z022,NOS,,Polyvinyl alcohol (PVA) Hand gloves,Polyvinyl alcohol (PVA) Hand gloves,
5822,555027906,SHRUHO,42172,,ZSC2,P,Z022,NOS,,LAL Reagent Water 100mL,"LAL Reagent Water 100mL, item code:W110",
5823,555040633,SHRUHO,42660,,ZSC2,P,Z022,NOS,,2 ml crimp vials,"2 ml crimp top vials,100/pk , Agilent, Cat no.# 5183-4494",Cat no.# 5183-4494
5824,555114629,SHRUHO,44795,,ZSC2,P,Z022,NOS,,"5 micron filter cloth, Dia- 4.5cm","5 micron filter cloth, Dia- 4.5cm",
5825,555095541,SHRUHO,44083,,ZSC2,P,Z022,NOS,,"Clarity Oligo-MS (100*4.6, 2.6mic) CAT N","Clarity Oligo-MS (100*4.6, 2.6mic) CAT NO:00D-4479-E0",CAT NO:00D-4479-E0
5826,555098600,SHRUHO,44196,,ZSC2,P,Z022,NOS,,"Alltima Silica Column 250 X 4.6 mm, 5um","Alltima Silica Column 250 X 4.6 mm, 5um particle size,Cat No.:88171",Cat No.:88171
5827,555082530,SHRUHO,43538,,ZSC2,P,Z022,NOS,,Weighing Scoop-Borosil-3ML,Weighing Scoop-Borosil-3ML,
5828,555111651,SHRUHO,44692,,ZSC2,P,Z022,NOS,,Cartridge – TN2365 (Black) Brother  Mode,Cartridge – TN2365 (Black) Brother Model,
5829,555094001,SHRUHO,44021,,ZSC2,P,Z022,NOS,,Vaccum Trap For Dewar flask  250 ml,Vaccum Trap For Dewar flask  250 ml,
5830,555083119,SHRUHO,43564,,ZSC2,P,Z022,NOS,,Door glass,Door glass,
5831,555102326,SHRUHO,44322,,ZSC2,P,Z022,NOS,,Dionex CR-CTC II Continuously Regenerate,Thermo Scientific Dionex CR-CTC II Continuously Regenerated,
